customer_id,name,city,signup_date,monthly_spend,annual_income,satisfaction,churn_risk,legacy_segment
1, Customer 1 ,Los Angeles,12/01/2023,$ 294.67,23264.16,7.4,medium,
2, Customer 2 ,Chicago,08/14/2023,$ 194.26,25181.49,5.9,low,
3, Customer 3 ,Chicago,12/15/2020,$ 789.77,11922.57,7.5,medium,
4, Customer 4 ,New York,09/07/2020,$ 540.77,322299.53,5.9,high,
5, Customer 5 , new york,03/06/2023,$ 303.74,,6.7,high,
6, Customer 6 ,Chicago,05/03/2020,$ 201.49,137143.06,7.1,high,
7, Customer 7 ,New York,05/10/2021,$ 149.43,18350.95,5.1,medium,
8, Customer 8 ,Chicago,12/25/2022,$ 319.47,,7.5,low,
9, Customer 9 ,Chicago,12/10/2020,$ 439.12,7301.12,7.6,low,
10, Customer 10 ,Los Angeles,04/03/2023,$ 321.85,23281.62,7.2,medium,
11, Customer 11 , new york,03/13/2020,$ 401.58,79648.57,6.9,medium,
12, Customer 12 ,New York,12/05/2022,$ 110.44,10651.23,7.0,medium,
13, Customer 13 ,New York,12/15/2023,$ 873.58,86249.95,6.3,medium,
14, Customer 14 ,Los Angeles,11/22/2022,$ 37.74,44512.0,7.1,low,
15, Customer 15 ,Los Angeles,07/17/2023,$ 697.43,12841.59,,medium,
16, Customer 16 ,Los Angeles,06/27/2023,$ 48.83,,7.5,low,
17, Customer 17 ,Chicago,05/12/2022,$ 242.91,,6.1,high,
18, Customer 18 ,Chicago,12/03/2020,$ 339.44,31427.31,7.7,high,
19, Customer 19 ,Los Angeles,03/13/2020,$ 718.22,,7.6,high,
20, Customer 20 ,Chicago,07/16/2023,$ 46.77,15606.47,7.2,medium,
21, Customer 21 ,New York,09/08/2023,$ 834.98,24981.01,6.9,high,
22, Customer 22 ,New York,10/20/2022,$ 133.23,13040.29,8.0,high,
23, Customer 23 ,Los Angeles,04/21/2020,$ 318.73,10295.13,5.6,medium,
24, Customer 24 ,New York,08/26/2023,$ 822.83,31465.32,7.9,low,
25, Customer 25 ,New York,04/10/2022,$ 349.91,72735.64,7.7,,
26, Customer 26 ,Los Angeles,05/21/2020,$ 245.20,8296.3,,medium,
27, Customer 27 ,Los Angeles,03/02/2021,$ 402.18,32963.54,7.8,medium,
28, Customer 28 ,Chicago,03/09/2023,$ 617.97,18307.01,6.7,high,
29, Customer 29 ,Los Angeles,10/24/2022,$ 114.20,13637.37,7.1,high,
30, Customer 30 ,Los Angeles,02/21/2022,$ 177.25,70833.96,8.1,high,
31, Customer 31 ,Los Angeles,11/14/2020,$ 490.61,20612.38,7.9,low,
32, Customer 32 ,New York,08/13/2022,$ 856.49,,7.6,low,
33, Customer 33 ,New York,05/09/2020,$ 835.76,16287.36,5.7,medium,
34, Customer 34 ,New York,12/22/2021,$ 772.26,46529.97,,medium,
35, Customer 35 ,N/A,03/18/2021,$ 419.91,26780.93,8.7,low,
36, Customer 36 ,New York,08/03/2020,$ 681.29,16670.24,8.5,medium,
37, Customer 37 , new york,09/02/2022,$ 764.78,55765.32,7.7,medium,
38, Customer 38 ,New York,05/01/2023,$ 148.16,28581.52,5.7,high,
39, Customer 39 ,Chicago,09/23/2023,$ 247.52,56550.51,8.4,high,
40, Customer 40 ,New York,09/24/2020,$ 155.12,31490.39,7.2,low,
41, Customer 41 ,New York,12/26/2022,$ 116.37,12366.73,4.6,medium,
42, Customer 42 ,Chicago,10/21/2023,$ 363.37,,,low,
43, Customer 43 ,Los Angeles,11/15/2023,$ 413.74,34432.62,5.8,low,
44, Customer 44 ,Chicago,11/09/2020,$ 238.50,77856.03,6.0,high,
45, Customer 45 ,Los Angeles,03/01/2021,$ 661.15,14535.63,6.7,medium,
46, Customer 46 ,N/A,01/08/2021,$ 847.98,31716.84,8.8,medium,
47, Customer 47 ,New York,09/07/2023,$ 275.89,,7.0,high,
48, Customer 48 ,Los Angeles,03/28/2022,$ 242.91,59062.04,,,
